last 4 digits of sid	Assign1	Assign2	Assign3	Assign4	Assign5	Assign6	Assign7	Assign8	participation	weekly %	midterm	Final	Adjusted Final	Total	Grade
1445	7	14	20	20	20	19	19	17	20	94.55%	62	72	80	82.22	2.9
3521	7	15	20	19	17	13	20	19	20	90.91%	83	65	73	82.16	2.9
3053	7	15	15	19	19	17	16	14	20	86.06%	76	73	81	82.02	2.9
0605	7	13	20	18	18	20	17	18	20	91.52%	81	65	73	82.01	2.9
1191	8	15	19	18	19	13	13	16	20	85.45%	89	67	75	81.98	2.9
8545	9	15	20	19	19	17	18	17	20	93.33%	89	59	67	81.93	2.9
0229	9	15	17	17	18	9	19	16	20	84.85%	75	74	82	81.74	2.8
4171	10	14	20	20	20	20	10	20	20	93.33%	78	64	72	81.73	2.8
6214	7	13	20	17	16	12	18	15	20	83.64%	79	73	81	81.65	2.8
6809	8	15	20	20	19	20	14	20	20	94.55%	77	63	71	81.62	2.8
0305	9	14	19	19	20	19	11	14	20	87.88%	74	71	79	81.55	2.8
4280	10	15	20	20	18	16	10	20	20	90.30%	75	68	76	81.52	2.8
5718	9	15	16	19	19	20	9	15	20	86.06%	79	70	78	81.42	2.8
2773	8	15	20	15	20	20	20	18	20	94.55%	68	67	75	81.42	2.8
0295	9	14	20	19	20	18	2	18	20	84.85%	83	69	77	81.34	2.8
4888	10	15	20	18	20	20	19	20	20	98.18%	86	54	62	81.27	2.8
7184	7	15	16	18	15	20	19	17	20	89.09%	72	70	78	81.24	2.8
4254	9	15	20	19	20	20	18	17	20	95.76%	80	59	67	81.10	2.8
4492	9	15	19	19	18	19	14	20	20	92.73%	86	59	67	81.09	2.8
2728	8	15	20	20	20	20	16	18	20	95.15%	81	59	67	81.06	2.8
5302	10	15	20	19	18	20	16	19	20	95.15%	77	61	69	81.06	2.8
1853	10	13	20	20	20	20	18	19	20	96.97%	79	58	66	80.99	2.8
3749	7	15	20	19	18	19	20	17	20	93.94%	77	62	70	80.98	2.8
0033	5	11	18	18	19	20	20	19	20	90.91%	79	64	72	80.96	2.8
7855	9	14	16	18	9.5	20	8.5	19	20	81.21%	90	68	76	80.88	2.8
5648	8	13	20	19	19	 	16	 	20	69.70%	81	84	92	80.88	2.8
2121	9	15	20	20	20	20	20	18	20	98.18%	68	62	70	80.87	2.8
4801	8	15	20	20	19	19	17	19	20	95.15%	78	60	68	80.86	2.8
2634	10	15	20	18	20	20	18	18	20	96.36%	84	55	63	80.55	2.7
3044	10	14	12	20	18	6	18	17	20	81.82%	81	71	79	80.53	2.7
1282	8	14	18	18	16	 	18	18	20	78.79%	65	82	90	80.52	2.7
1238	8	14	19	20	20	20	20	19	20	96.97%	82	55	63	80.39	2.7
4791	8	15	18	18	16	15	18	15	20	86.67%	86	63	71	80.27	2.7
9880	9	15	19	19	19	19	16	17	20	92.73%	89	55	63	80.09	2.7
9826	9	15	20	19	20	20	18	18	18	95.15%	83	55	63	79.86	2.7
2524	7	14	20	18	8.5	15	15	18	20	82.12%	84	67	75	79.65	2.6
7421	9	14	17	10	16	18	18	16	18	82.42%	79	69	77	79.57	2.6
2689	7	15	19	18	16	19	18	18	20	90.91%	76	62	70	79.56	2.6
2365	7	15	20	20	18	13	15	17	20	87.88%	78	64	72	79.55	2.6
7083	7	11	20	20	20	16	20	19	20	92.73%	78	59	67	79.49	2.6
7941	9	15	20	20	19	20	19	14	15	91.52%	90	54	62	79.41	2.6
6422	10	15	18	20	16	16	9.5	18	20	86.36%	89	59	67	79.15	2.6
7776	8	15	20	16	19	17	14	20	20	90.30%	73	63	71	79.12	2.6
2923	8	15	16	17	19	10	18	15	20	83.64%	86	63	71	79.05	2.6
1101	7	15	20	20	19	16	8.5	19	20	87.58%	85	59	67	78.83	2.6
1636	10	15	20	18	10	20	19	18	20	90.91%	78	59	67	78.76	2.6
7409	9	15	16	20	19	18	17	16	20	90.91%	84	56	64	78.76	2.6
